ID	UT	N_Arvore	DAP	HC	G	Volume	X	Y	Z
439	3	8730	0.572956	13	0.25783	2.649613	549539.055	9797768.271	80.082199
440	3	8732	0.588872	13	0.272353	2.799204	549532.842	9797829.619	79.184097
441	3	8733	0.709829	10	0.395729	3.260905	549525.292	9797884.667	76.944
442	3	8734	0.544309	13	0.232691	2.390724	549585.796	9797881.778	76.738197
443	3	8735	0.6589	12	0.34098	3.276902	549587.024	9797896.921	75.016296
444	3	8736	0.636618	14	0.318308	3.484274	549578.909	9797915.935	74.375198
445	3	8737	0.652534	16	0.334423	4.098592	549582.582	9797925.109	74.375198
446	3	8740	0.620703	14	0.302592	3.311861	549504.403	9797966.357	74.988899
447	3	8741	0.614337	13	0.296417	3.047112	549505.187	9797990.012	73.354698
448	3	8742	0.74166	18	0.432016	5.852391	549502.634	9798008.914	71.4645
449	3	8744	0.748026	14	0.439465	4.813968	549511.116	9798126.299	65.273903
450	3	8746	0.923097	13	0.669243	6.892322	549534.44	9798445.296	75.394096
451	3	8749	0.636618	13	0.318308	3.272679	549516.768	9798495.925	77.169701
452	3	8751	0.754393	17	0.446977	5.769865	549531.786	9798505.317	79.661697
453	3	8753	0.627069	13	0.308831	3.175019	549537.016	9798518.138	79.661697
454	3	8754	0.627069	12	0.308831	2.967279	549522.447	9798521.568	79.661697
455	3	8759	0.601604	8	0.284257	1.938211	549509.441	9798549.757	81.226097
456	3	8761	0.592055	11	0.275305	2.456932	549502.328	9798571.313	82.663597
457	3	8762	0.687548	12	0.371275	3.568728	549513.674	9798576.506	82.663597
458	3	8763	0.636618	12	0.318308	3.058549	549460.841	9798566.681	83.252197
459	3	8764	0.620703	12	0.302592	2.907202	549449.939	9798556.625	82.1147
460	3	8766	0.560224	12	0.246498	2.367179	549451.827	9798546.566	82.1147
461	3	8769	0.773491	14	0.469895	5.148082	549502.087	9798495.818	77.169701
462	3	8770	0.636618	14	0.318308	3.484274	549499.181	9798439.225	74.5093
463	3	8771	1.273237	14	1.273234	13.980636	549512.414	9798427.726	71.560799
464	3	8772	0.61752	16	0.299496	3.669633	549512.856	9798416.562	71.560799
465	3	8773	0.989941	16	0.769678	9.450663	549530.093	9798408.268	72.699799
466	3	8776	0.56659	10	0.252132	2.075525	549501.11	9798144.208	63.714901
467	3	8777	0.604787	14	0.287273	3.143832	549499.223	9798160.678	63.714901
468	3	8778	0.560224	10	0.246498	2.029043	549492.549	9798154.822	63.714901
469	3	8780	0.509295	12	0.203717	1.955507	549482.727	9798014.887	72.169197
470	3	8781	0.684365	16	0.367845	4.509174	549476.495	9798003.172	74.256302
471	3	8784	0.738477	14	0.428316	4.691572	549490.392	9797977.746	74.256302
472	3	8785	0.563407	13	0.249307	2.561835	549497.287	9797977.634	73.354698
473	3	8786	0.954927	14	0.716194	7.853934	549470.144	9797957.523	75.833099
474	3	8790	0.636618	10	0.318308	2.621656	549457.569	9797927.019	78.248299
475	3	8791	0.732111	15	0.420963	4.887784	549464.465	9797929.449	77.369301
476	3	8792	0.582506	15	0.266496	3.091091	549496.718	9797922.809	76.458801
477	3	8794	0.595238	13	0.278273	2.860192	549462.342	9797889.436	78.732697
478	3	8795	0.604787	17	0.287273	3.704624	549487.028	9797868.87	79.935997
479	3	8797	0.795773	10	0.497357	4.100453	549499.262	9797867.872	78.991402
480	3	8800	0.725745	16	0.413674	5.072295	549494.123	9797775.577	80.676804
481	3	8801	0.611154	13	0.293353	3.015547	549497.433	9797667.363	80.7453
482	3	8802	0.585689	8	0.269416	1.836795	549505.439	9797658.85	80.7453
483	3	8803	0.572956	12	0.25783	2.476251	549510.218	9797646.027	80.7453
484	3	8804	0.649351	13	0.331168	3.405198	549512.328	9797633.867	80.042099
485	3	8805	0.636618	15	0.318308	3.693544	549515.443	9797634.862	80.042099
486	3	8807	0.557041	13	0.243705	2.50414	549457.723	9797650.682	83.112099
487	3	8810	0.620703	13	0.302592	3.110736	549439.286	9797756.137	83.065903
488	3	8811	0.70028	16	0.385153	4.72183	549436.621	9797772.607	83.136002
489	3	8812	0.572956	14	0.25783	2.820924	549434.069	9797799.025	82.785004
490	3	8813	0.808505	10	0.5134	4.233019	549427.287	9797809.638	84.488297
491	3	8818	0.56659	13	0.252132	2.59093	549429.22	9797980.635	76.3647
492	3	8822	0.639801	10	0.321499	2.647997	549459.403	9798147.092	66.7164
493	3	8823	0.767125	12	0.462192	4.444819	549477.876	9798190.417	63.605701
494	3	8825	0.611154	10	0.293353	2.415674	549499.691	9798252.09	60.741901
495	3	8829	0.652534	14	0.334423	3.661072	549458.024	9798417.571	69.199997
496	3	8830	0.954927	17	0.716194	9.254908	549459.037	9798468.637	73.252602
497	3	8832	0.881716	16	0.610587	7.493329	549438.351	9798475.054	76.887299
498	3	8833	0.592055	11	0.275305	2.456932	549441.692	9798489.201	76.887299
499	3	8834	0.553858	12	0.240928	2.313566	549443.917	9798493.069	76.887299
500	3	8835	0.732111	13	0.420963	4.330841	549432.911	9798511.863	79.760696
501	3	8838	0.595238	14	0.278273	3.045118	549441.148	9798540.268	82.1147
502	3	8839	0.977209	17	0.750006	9.692849	549427.023	9798539.498	83.049599
503	3	8840	0.611154	12	0.293353	2.818241	549423.465	9798545.136	83.049599
504	3	8841	0.636618	12	0.318308	3.058549	549435.707	9798575.53	83.9226
505	3	8842	0.732111	16	0.420963	5.161875	549434.375	9798585.147	83.9226
506	3	8843	0.636618	12	0.318308	3.058549	549406.235	9798584.933	84.986397
507	3	8844	0.722562	12	0.410053	3.942346	549360.8728	9798585.844	85.198303
508	3	8845	0.646168	12	0.327929	3.151205	549352.07	9798586.715	85.198303
509	3	8847	0.738477	12	0.428316	4.118334	549379.087	9798546.584	83.757202
510	3	8848	0.636618	12	0.318308	3.058549	549383.536	9798545.146	83.757202
511	3	8851	0.642984	12	0.324706	3.120166	549372.517	9798510.662	80.9813
512	3	8855	0.668449	16	0.350935	4.301428	549410.57	9798122.787	70.763802
513	3	8856	0.827604	17	0.537941	6.946989	549392.214	9798106.874	72.388802
514	3	8858	0.732111	12	0.420963	4.047476	549388.639	9798038.897	75.5485
515	3	8860	0.681182	14	0.364431	3.99036	549392.195	9798029.279	76.664398
516	3	8864	0.821238	12	0.529697	5.095568	549402.752	9797992.579	76.3647
517	3	8865	0.646168	13	0.327929	3.371821	549380.614	9797972.799	78.582199
518	3	8866	0.611154	10	0.293353	2.415674	549362.931	9797976.34	79.041901
519	3	8868	0.859435	14	0.580117	6.358671	549356.145	9797972.031	79.041901
520	3	8870	0.572956	12	0.25783	2.476251	549357.807	9797945.281	80.164703
521	3	8871	0.636618	12	0.318308	3.058549	549357.693	9797935.112	80.164703
522	3	8873	0.585689	13	0.269416	2.768956	549390.498	9797911.56	81.516098
523	3	8874	0.627069	12	0.308831	2.967279	549380.928	9797892.44	81.516098
524	3	8875	0.795773	12	0.497357	4.783785	549390.045	9797879.395	83.0084
525	3	8876	0.677998	12	0.361033	3.470066	549405.836	9797870.548	82.201797
526	3	8878	0.636618	13	0.318308	3.272679	549381.139	9797846.237	84.547501
527	3	8879	0.636618	18	0.318308	4.309065	549380.469	9797833.857	84.547501
528	3	8881	0.636618	13	0.318308	3.272679	549417.506	9797835.727	83.674896
529	3	8883	0.738477	12	0.428316	4.118334	549385.574	9797791.079	86.933601
530	3	8884	0.684365	13	0.367845	3.78322	549411.373	9797771.066	85.141197
531	3	8885	0.684365	12	0.367845	3.535687	549416.266	9797767.306	85.141197
532	3	8887	0.60797	13	0.290305	2.984146	549396.688	9797756.368	87.805
533	3	8888	1.203209	13	1.137029	11.723872	549393.12	9797721.33	88.495499
534	3	8889	0.868984	12	0.59308	5.706751	549399.457	9797709.612	85.910698
535	3	8890	0.891266	17	0.623884	8.059551	549402.341	9797679.545	85.849602
536	3	8891	0.884899	13	0.615004	6.33252	549395.441	9797662.967	87.2621
537	3	8892	0.954927	16	0.716194	8.792525	549378.203	9797666.619	87.2621
538	3	8893	0.6589	13	0.34098	3.506318	549368.417	9797673.143	88.259499
539	3	8894	0.986758	14	0.764736	8.387494	549366.307	9797686.186	89.270599
540	3	8895	0.614337	11	0.296417	2.645782	549366.747	9797667.506	88.388802
541	3	8896	1.018589	17	0.814869	10.533088	549409.563	9797650.142	85.178101
542	3	8897	1.082251	14	0.919911	10.093625	549406.335	9797639.199	85.178101
543	3	8899	1.273237	16	1.273234	15.651405	549419.686	9797656.218	85.178101
544	3	8900	0.706646	17	0.392188	5.061125	549431.256	9797668.264	83.112099
545	3	8902	0.684365	12	0.367845	3.535687	549396.434	9797629.696	85.048698
546	3	8903	0.668449	13	0.350935	3.608921	549371.965	9797630.034	85.048698
547	3	8904	0.763942	16	0.458364	5.621569	549374.082	9797644.513	87.2621
548	3	8905	0.588872	13	0.272353	2.799204	549364.736	9797628.377	86.095398
549	3	8906	0.763942	16	0.458364	5.621569	549361.067	9797636.005	86.095398
550	3	8907	0.970843	16	0.740266	9.088728	549358.735	9797652.144	88.388802
551	3	8908	1.435574	14	1.618606	17.782572	549343.719	9797647.726	88.388802
552	3	8909	1.273237	17	1.273234	16.474484	549350.397	9797664.968	88.388802
553	3	8910	0.954927	13	0.716194	7.376975	549340.618	9797699.125	89.4291
554	3	8911	1.289152	16	1.305263	16.046033	549357.862	9797719.017	89.4291
555	3	8912	1.305067	18	1.337691	18.167437	549337.292	9797744.556	88.887199
556	3	8913	0.770308	13	0.466035	4.795641	549335.513	9797745.993	88.852798
557	3	8914	0.665266	13	0.347601	3.574555	549360.212	9797776.716	87.725998
558	3	8917	0.697097	16	0.38166	4.678906	549339.53	9797796.396	86.278999
559	3	8918	0.789407	13	0.489431	5.036944	549353.775	9797831.653	84.727097
560	3	8919	0.821238	14	0.529697	5.804828	549355.224	9797845.359	84.727097
561	3	8921	0.760759	13	0.454552	4.677215	549343.225	9797897.424	81.659599
562	3	8922	0.754393	13	0.446977	4.599089	549353.139	9797959.763	79.041901
