ID	UT	N_Arvore	DAP	HC	G	Volume	X	Y	Z
261	3	8668	0.512478	12	0.206272	1.980083	549595.967	9798530.392	79.140404
262	3	8669	0.541126	9	0.229978	1.73146	549584.843	9798523.21	79.140404
263	3	8670	0.493379	12	0.191184	1.834935	549573.277	9798528.408	79.741302
264	3	8671	0.509295	13	0.203717	2.092412	549569.601	9798505.639	79.741302
265	3	8674	0.222816	14	0.038993	0.424812	549601.516	9798478.661	78.5541
266	3	8675	0.52521	12	0.216649	2.079924	549606.742	9798473.907	78.5541
267	3	8682	0.929463	13	0.678506	6.987932	549601.601	9798375.864	68.245399
268	3	8684	0.630252	11	0.311974	2.784965	549571.904	9798372.113	67.1987
269	3	8686	0.572956	12	0.25783	2.476251	549629.949	9798319.595	66.025803
270	3	8687	0.52521	12	0.216649	2.079924	549633.111	9798063.927	66.451103
271	3	8689	0.493379	12	0.191184	1.834935	549627.421	9797993.629	69.729797
272	3	8691	0.636618	12	0.318308	3.058549	549609.278	9797936.266	73.305901
273	3	8692	0.87535	13	0.601802	6.196281	549616.061	9797930.627	72.2817
274	3	8697	0.461548	13	0.167311	1.717714	549610.922	9797840.211	78.106598
275	3	8699	0.572956	12	0.25783	2.476251	549602.574	9797812.8	78.446198
276	3	8700	0.636618	12	0.318308	3.058549	549603.018	9797812.027	78.446198
277	3	8701	0.582506	10	0.266496	2.194039	549601.679	9797794.231	78.446198
278	3	8702	1.336898	12	1.40374	13.533311	549625.255	9797779.303	77.427803
279	3	8703	0.499745	6	0.19615	1.04783	549626.693	9797747.358	76.972099
280	3	8705	0.859435	17	0.580117	7.492922	549614.336	9797703.368	77.422897
281	3	8707	0.954927	10	0.716194	5.909498	549639.361	9797703.141	77.422897
282	3	8708	0.534759	14	0.224598	2.456576	549640.248	9797691.424	77.9776
283	3	8709	1.114082	18	0.974819	13.229786	549622.227	9797679.491	77.9776
284	3	8710	0.493379	12	0.191184	1.834935	549634.349	9797675.951	77.9776
285	3	8711	0.986758	10	0.764736	6.310962	549639.464	9797671.86	77.9776
286	3	8715	0.588872	16	0.272353	3.336336	549565.939	9797639.712	80.7939
287	3	8720	0.477464	12	0.179048	1.718208	549576.068	9797672.981	80.6726
288	3	8726	0.506112	16	0.201179	2.462774	549568.635	9797748.809	79.370697
289	3	8727	0.509295	17	0.203717	2.625071	549563.519	9797750.911	79.370697
290	3	8729	0.636618	10	0.318308	2.621656	549536.709	9797726.489	80.849602
291	3	8731	0.547492	12	0.235421	2.260568	549552.414	9797816.682	79.776497
292	3	8738	1.05042	16	0.866595	10.64352	549558.459	9797975.85	73.0952
293	3	8739	0.954927	14	0.716194	7.853934	549525.085	9797945.903	74.140404
294	3	8743	0.531576	11	0.221933	1.979655	549495.739	9798013.005	71.4645
295	3	8745	0.601604	16	0.284257	3.482505	549529.322	9798437.891	72.699799
296	3	8747	0.477464	16	0.179048	2.191286	549531.107	9798459.887	75.394096
297	3	8748	0.585689	14	0.269416	2.947983	549514.65	9798475.698	77.169701
298	3	8750	0.477464	13	0.179048	1.8385	549523.443	9798501.671	79.661697
299	3	8752	0.461548	12	0.167311	1.605325	549536.904	9798515.706	79.661697
300	3	8755	0.496562	12	0.193659	1.858742	549526.342	9798530.852	79.661697
301	3	8756	0.541126	10	0.229978	1.892762	549522.896	9798539.474	80.984703
302	3	8757	0.522027	14	0.214031	2.340735	549532.575	9798548.646	80.984703
303	3	8758	0.579323	16	0.263591	3.22877	549540.474	9798556.824	80.984703
304	3	8760	0.557041	12	0.243705	2.340295	549503.768	9798546.774	81.226097
305	3	8765	0.585689	17	0.269416	3.473841	549456.276	9798548.555	82.1147
306	3	8767	0.509295	13	0.203717	2.092412	549452.27	9798539.05	82.1147
307	3	8768	0.493379	16	0.191184	2.340151	549483.96	9798506.987	79.326103
308	3	8774	1.018589	16	0.814869	10.006846	549539.432	9798391.354	69.640999
309	3	8775	0.455182	10	0.162727	1.338234	549508.23	9798151.17	63.714901
310	3	8779	0.455182	16	0.162727	1.99111	549505.445	9798134.148	63.714901
311	3	8782	0.499745	13	0.19615	2.014511	549473.935	9797995.657	74.256302
312	3	8783	0.604787	14	0.287273	3.143832	549462.143	9797983.501	74.256302
313	3	8787	0.572956	13	0.25783	2.649613	549468.918	9797947.133	75.833099
314	3	8788	0.891266	14	0.623884	6.839525	549445.005	9797945.813	76.791397
315	3	8789	0.668449	17	0.350935	4.527632	549444.225	9797938.739	78.248299
316	3	8793	0.954927	14	0.716194	7.853934	549480.693	9797888.989	78.732697
317	3	8796	0.668449	16	0.350935	4.301428	549489.586	9797867.875	79.935997
318	3	8798	0.56659	10	0.252132	2.075525	549503.033	9797824.21	79.888702
