id	x	y	z
38	550013.4933	9797602.967	58.9865
39	550043.4933	9797602.967	55.7211
40	550073.4933	9797602.967	54.592701
41	550103.4933	9797602.967	54.592701
42	550133.4933	9797602.967	54.592701
43	550163.4933	9797602.967	54.592701
44	550193.4933	9797602.967	54.592701
45	550223.4933	9797602.967	55.4865
46	550253.4933	9797602.967	57.016602
47	550283.4933	9797602.967	58.305199
48	550313.4933	9797602.967	59.131901
49	550343.4933	9797602.967	58.9972
50	550373.4933	9797602.967	58.410702
51	550403.4933	9797602.967	57.504601
52	550433.4933	9797602.967	56.766201
53	550463.4933	9797602.967	56.0163
54	550493.4933	9797602.967	55.320599
90	549953.4933	9797632.967	62.7589
91	549983.4933	9797632.967	62.7589
92	550013.4933	9797632.967	58.327
93	550043.4933	9797632.967	54.8097
94	550073.4933	9797632.967	54.592701
95	550103.4933	9797632.967	54.592701
96	550133.4933	9797632.967	54.592701
97	550163.4933	9797632.967	54.592701
98	550193.4933	9797632.967	55.384602
99	550223.4933	9797632.967	56.949001
100	550253.4933	9797632.967	58.900299
101	550283.4933	9797632.967	60.563499
102	550313.4933	9797632.967	61.368801
103	550343.4933	9797632.967	61.251099
104	550373.4933	9797632.967	60.5732
105	550403.4933	9797632.967	59.790401
106	550433.4933	9797632.967	58.9352
107	550463.4933	9797632.967	58.030701
108	550493.4933	9797632.967	57.087299
144	549953.4933	9797662.967	62.7742
145	549983.4933	9797662.967	62.7742
146	550013.4933	9797662.967	57.9347
147	550043.4933	9797662.967	54.592701
148	550073.4933	9797662.967	54.592701
149	550103.4933	9797662.967	54.592701
150	550133.4933	9797662.967	54.592701
151	550163.4933	9797662.967	54.666199
152	550193.4933	9797662.967	56.478401
153	550223.4933	9797662.967	58.410702
154	550253.4933	9797662.967	60.706699
155	550283.4933	9797662.967	62.565601
158	550373.4933	9797662.967	62.659302
159	550403.4933	9797662.967	61.981899
160	550433.4933	9797662.967	61.017502
161	550463.4933	9797662.967	59.928699
162	550493.4933	9797662.967	58.794998
200	550013.4933	9797692.967	58.487598
201	550043.4933	9797692.967	54.844501
202	550073.4933	9797692.967	54.592701
203	550103.4933	9797692.967	54.592701
204	550133.4933	9797692.967	54.592701
205	550163.4933	9797692.967	54.6614
206	550193.4933	9797692.967	56.747898
207	550223.4933	9797692.967	59.172199
208	550253.4933	9797692.967	61.756901
214	550433.4933	9797692.967	62.398102
215	550463.4933	9797692.967	61.397202
216	550493.4933	9797692.967	60.309101
254	550013.4933	9797722.967	59.3633
255	550043.4933	9797722.967	55.632099
256	550073.4933	9797722.967	54.592701
257	550103.4933	9797722.967	54.592701
258	550133.4933	9797722.967	54.592701
259	550163.4933	9797722.967	54.592701
260	550193.4933	9797722.967	56.7491
261	550223.4933	9797722.967	59.618198
262	550253.4933	9797722.967	62.5028
269	550463.4933	9797722.967	62.779499
270	550493.4933	9797722.967	61.831001
308	550013.4933	9797752.967	60.7584
309	550043.4933	9797752.967	57.784599
310	550073.4933	9797752.967	55.336498
311	550103.4933	9797752.967	54.592701
312	550133.4933	9797752.967	54.592701
313	550163.4933	9797752.967	54.592701
314	550193.4933	9797752.967	56.712898
315	550223.4933	9797752.967	59.786098
362	550013.4933	9797782.967	62.719299
363	550043.4933	9797782.967	59.529202
364	550073.4933	9797782.967	56.3396
365	550103.4933	9797782.967	54.592701
366	550133.4933	9797782.967	54.592701
367	550163.4933	9797782.967	54.592701
368	550193.4933	9797782.967	56.783298
369	550223.4933	9797782.967	59.933899
417	550043.4933	9797812.967	60.8027
418	550073.4933	9797812.967	57.515999
419	550103.4933	9797812.967	54.8918
420	550133.4933	9797812.967	54.592701
421	550163.4933	9797812.967	54.592701
422	550193.4933	9797812.967	56.651001
423	550223.4933	9797812.967	59.995098
471	550043.4933	9797842.967	61.893902
472	550073.4933	9797842.967	58.333801
473	550103.4933	9797842.967	55.360699
474	550133.4933	9797842.967	54.592701
475	550163.4933	9797842.967	54.592701
476	550193.4933	9797842.967	56.4604
477	550223.4933	9797842.967	59.727402
525	550043.4933	9797872.967	61.7206
526	550073.4933	9797872.967	58.5242
527	550103.4933	9797872.967	55.636002
528	550133.4933	9797872.967	54.592701
529	550163.4933	9797872.967	54.592701
530	550193.4933	9797872.967	55.997501
531	550223.4933	9797872.967	58.760502
532	550253.4933	9797872.967	62.369301
578	550013.4933	9797902.967	62.526199
579	550043.4933	9797902.967	60.953602
580	550073.4933	9797902.967	58.069
581	550103.4933	9797902.967	55.350399
582	550133.4933	9797902.967	54.592701
583	550163.4933	9797902.967	54.592701
584	550193.4933	9797902.967	55.383801
585	550223.4933	9797902.967	57.646198
586	550253.4933	9797902.967	60.918201
630	549953.4933	9797932.967	61.5107
631	549983.4933	9797932.967	61.5107
632	550013.4933	9797932.967	60.123798
633	550043.4933	9797932.967	58.800598
634	550073.4933	9797932.967	56.814602
635	550103.4933	9797932.967	54.830399
636	550133.4933	9797932.967	54.592701
637	550163.4933	9797932.967	54.592701
638	550193.4933	9797932.967	54.592701
639	550223.4933	9797932.967	56.398701
640	550253.4933	9797932.967	59.273998
641	550283.4933	9797932.967	62.650501
683	549923.4933	9797962.967	61.466301
