id	x	y	z
44	550193.4933	9797602.967	54.592701
45	550223.4933	9797602.967	55.4865
97	550163.4933	9797632.967	54.592701
98	550193.4933	9797632.967	55.384602
151	550163.4933	9797662.967	54.666199
152	550193.4933	9797662.967	56.478401
205	550163.4933	9797692.967	54.6614
206	550193.4933	9797692.967	56.747898
259	550163.4933	9797722.967	54.592701
260	550193.4933	9797722.967	56.7491
313	550163.4933	9797752.967	54.592701
314	550193.4933	9797752.967	56.712898
367	550163.4933	9797782.967	54.592701
368	550193.4933	9797782.967	56.783298
422	550193.4933	9797812.967	56.651001
423	550223.4933	9797812.967	59.995098
476	550193.4933	9797842.967	56.4604
477	550223.4933	9797842.967	59.727402
478	550253.4933	9797842.967	63.4389
531	550223.4933	9797872.967	58.760502
532	550253.4933	9797872.967	62.369301
584	550193.4933	9797902.967	55.383801
585	550223.4933	9797902.967	57.646198
586	550253.4933	9797902.967	60.918201
637	550163.4933	9797932.967	54.592701
638	550193.4933	9797932.967	54.592701
639	550223.4933	9797932.967	56.398701
640	550253.4933	9797932.967	59.273998
690	550133.4933	9797962.967	54.592701
691	550163.4933	9797962.967	54.592701
692	550193.4933	9797962.967	54.592701
693	550223.4933	9797962.967	54.6735
694	550253.4933	9797962.967	57.668598
742	550073.4933	9797992.967	54.592701
743	550103.4933	9797992.967	54.592701
744	550133.4933	9797992.967	54.592701
747	550223.4933	9797992.967	54.592701
748	550253.4933	9797992.967	56.366798
794	550013.4933	9798022.967	55.505501
795	550043.4933	9798022.967	54.592701
796	550073.4933	9798022.967	54.592701
797	550103.4933	9798022.967	54.592701
801	550223.4933	9798022.967	54.592701
802	550253.4933	9798022.967	55.833
847	549983.4933	9798052.967	54.9217
848	550013.4933	9798052.967	54.592701
849	550043.4933	9798052.967	54.592701
850	550073.4933	9798052.967	54.592701
856	550253.4933	9798052.967	56.1399
857	550283.4933	9798052.967	60.757301
900	549953.4933	9798082.967	54.592701
901	549983.4933	9798082.967	54.592701
902	550013.4933	9798082.967	54.592701
910	550253.4933	9798082.967	56.941399
911	550283.4933	9798082.967	61.569698
953	549923.4933	9798112.967	54.592701
954	549953.4933	9798112.967	54.592701
955	549983.4933	9798112.967	54.592701
963	550223.4933	9798112.967	54.592701
964	550253.4933	9798112.967	57.785198
1006	549893.4933	9798142.967	54.996601
1007	549923.4933	9798142.967	54.996201
1008	549953.4933	9798142.967	56.155899
1017	550223.4933	9798142.967	54.592701
1018	550253.4933	9798142.967	57.933899
1058	549833.4933	9798172.967	58.02
1059	549863.4933	9798172.967	57.817001
1060	549893.4933	9798172.967	57.679298
1061	549923.4933	9798172.967	57.7938
1070	550193.4933	9798172.967	54.592701
1071	550223.4933	9798172.967	54.592701
1072	550253.4933	9798172.967	57.958199
1109	549743.4933	9798202.967	59.6786
1110	549773.4933	9798202.967	60.194099
1111	549803.4933	9798202.967	60.583599
1112	549833.4933	9798202.967	60.999199
1113	549863.4933	9798202.967	60.914398
1125	550223.4933	9798202.967	54.592701
1126	550253.4933	9798202.967	58.027699
1160	549653.4933	9798232.967	59.3316
1161	549683.4933	9798232.967	59.6436
1162	549713.4933	9798232.967	60.121201
1163	549743.4933	9798232.967	60.828499
1164	549773.4933	9798232.967	61.7938
1165	549803.4933	9798232.967	62.749298
1166	549833.4933	9798232.967	63.397099
1179	550223.4933	9798232.967	54.8424
1180	550253.4933	9798232.967	58.359501
1210	549533.4933	9798262.967	60.262402
1211	549563.4933	9798262.967	60.192799
1212	549593.4933	9798262.967	60.436798
1213	549623.4933	9798262.967	60.637699
1214	549653.4933	9798262.967	60.824001
1215	549683.4933	9798262.967	61.180698
1216	549713.4933	9798262.967	61.7402
1217	549743.4933	9798262.967	62.451698
1233	550223.4933	9798262.967	55.3741
1234	550253.4933	9798262.967	58.799099
1261	549443.4933	9798292.967	60.908699
1262	549473.4933	9798292.967	61.311199
1263	549503.4933	9798292.967	61.257099
1264	549533.4933	9798292.967	61.347301
1265	549563.4933	9798292.967	61.891102
1266	549593.4933	9798292.967	62.547901
1267	549623.4933	9798292.967	63.173901
1287	550223.4933	9798292.967	55.793301
1288	550253.4933	9798292.967	59.334999
1313	549383.4933	9798322.967	60.908699
1314	549413.4933	9798322.967	60.908699
1315	549443.4933	9798322.967	61.5242
1316	549473.4933	9798322.967	62.574699
1317	549503.4933	9798322.967	63.136799
1341	550223.4933	9798322.967	56.065701
1342	550253.4933	9798322.967	59.891899
1365	549323.4933	9798352.967	61.9487
1366	549353.4933	9798352.967	60.925999
1367	549383.4933	9798352.967	60.908699
1368	549413.4933	9798352.967	61.732498
1369	549443.4933	9798352.967	63.199699
1395	550223.4933	9798352.967	56.3871
1396	550253.4933	9798352.967	60.428299
1416	549233.4933	9798382.967	65.040298
1417	549263.4933	9798382.967	65.357002
1418	549293.4933	9798382.967	64.6045
1419	549323.4933	9798382.967	63.832901
1420	549353.4933	9798382.967	63.174099
1421	549383.4933	9798382.967	63.591202
1449	550223.4933	9798382.967	56.6465
1450	550253.4933	9798382.967	60.913799
1466	549113.4933	9798412.967	67.067703
1467	549143.4933	9798412.967	66.991402
1468	549173.4933	9798412.967	66.927498
1469	549203.4933	9798412.967	67.205704
1470	549233.4933	9798412.967	67.481697
1471	549263.4933	9798412.967	67.899498
1472	549293.4933	9798412.967	67.983398
1502	550193.4933	9798412.967	54.592701
1503	550223.4933	9798412.967	56.638802
1515	548963.4933	9798442.967	68.800499
1516	548993.4933	9798442.967	67.165398
1517	549023.4933	9798442.967	67.067703
1518	549053.4933	9798442.967	67.067703
1519	549083.4933	9798442.967	67.1045
1520	549113.4933	9798442.967	67.882401
1521	549143.4933	9798442.967	68.477203
1522	549173.4933	9798442.967	69.099098
1523	549203.4933	9798442.967	69.794098
1556	550193.4933	9798442.967	54.592701
1557	550223.4933	9798442.967	56.7514
1567	548903.4933	9798472.967	69.863503
1568	548933.4933	9798472.967	69.710999
1569	548963.4933	9798472.967	68.7286
1570	548993.4933	9798472.967	67.595001
1571	549023.4933	9798472.967	67.274696
1572	549053.4933	9798472.967	67.564697
1573	549083.4933	9798472.967	68.077797
1574	549113.4933	9798472.967	69.243202
1610	550193.4933	9798472.967	54.592701
1611	550223.4933	9798472.967	56.536598
1621	548903.4933	9798502.967	69.994698
1622	548933.4933	9798502.967	70.449799
1664	550193.4933	9798502.967	54.592701
1665	550223.4933	9798502.967	56.518002
1718	550193.4933	9798532.967	54.592701
1719	550223.4933	9798532.967	56.545601
1772	550193.4933	9798562.967	54.617298
1773	550223.4933	9798562.967	56.8946
1825	550163.4933	9798592.967	54.592701
1826	550193.4933	9798592.967	55.053101
1827	550223.4933	9798592.967	57.619499
